case,n,k,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
transform_full_before_select,10000,100,2,32,29832000,0,0,0,0
transform_full_before_select,10000,100,3,32,31159600,0,0,0,0
transform_full_before_select,10000,100,4,32,29775400,0,0,0,0
transform_full_before_select,10000,100,5,32,29962700,0,0,0,0
transform_full_before_select,10000,100,6,32,29901000,0,0,0,0
transform_selected,10000,100,0,32,291300,0,0,0,0
transform_selected,10000,100,1,32,290900,0,0,0,0
transform_selected,10000,100,2,32,297200,0,0,0,0
transform_selected,10000,100,3,32,291200,0,0,0,0
transform_selected,10000,100,4,32,290700,0,0,0,0
transform_selected,10000,100,5,32,291700,0,0,0,0
transform_selected,10000,100,6,32,295100,0,0,0,0
binding_full_live_map,10000,100,0,32,6392100,0,0,0,0
binding_full_live_map,10000,100,1,32,5993900,0,0,0,0
binding_full_live_map,10000,100,2,32,5992300,0,0,0,0
binding_full_live_map,10000,100,3,32,6325100,0,0,0,0
binding_full_live_map,10000,100,4,32,6121500,0,0,0,0
binding_full_live_map,10000,100,5,32,6821300,0,0,0,0
binding_full_live_map,10000,100,6,32,6050100,0,0,0,0
binding_retained_lookup,10000,100,0,32,88600,0,0,0,0
binding_retained_lookup,10000,100,1,32,89100,0,0,0,0
binding_retained_lookup,10000,100,2,32,89000,0,0,0,0
binding_retained_lookup,10000,100,3,32,89300,0,0,0,0
binding_retained_lookup,10000,100,4,32,89100,0,0,0,0
binding_retained_lookup,10000,100,5,32,89200,0,0,0,0
binding_retained_lookup,10000,100,6,32,89200,0,0,0,0
binding_visibility_toggle,10000,100,0,32,324800,0,0,0,0
binding_visibility_toggle,10000,100,1,32,304800,0,0,0,0
binding_visibility_toggle,10000,100,2,32,306900,0,0,0,0
binding_visibility_toggle,10000,100,3,32,300300,0,0,0,0
binding_visibility_toggle,10000,100,4,32,301600,0,0,0,0
binding_visibility_toggle,10000,100,5,32,300600,0,0,0,0
binding_visibility_toggle,10000,100,6,32,306000,0,0,0,0
parking_resample,128,128,0,512,19112200,0,0,0,0
parking_resample,128,128,1,512,18769900,0,0,0,0
parking_resample,128,128,2,512,19060500,0,0,0,0
parking_resample,128,128,3,512,20000400,0,0,0,0
parking_resample,128,128,4,512,19040800,0,0,0,0
parking_resample,128,128,5,512,19466800,0,0,0,0
parking_resample,128,128,6,512,18893700,0,0,0,0
parking_cached_copy_kernel,128,128,0,512,33300,0,0,0,0
parking_cached_copy_kernel,128,128,1,512,33100,0,0,0,0
parking_cached_copy_kernel,128,128,2,512,33400,0,0,0,0
parking_cached_copy_kernel,128,128,3,512,33300,0,0,0,0
parking_cached_copy_kernel,128,128,4,512,33100,0,0,0,0
parking_cached_copy_kernel,128,128,5,512,32900,0,0,0,0
parking_cached_copy_kernel,128,128,6,512,32900,0,0,0,0
