active,parked,commands,success_percent,order,shape,group,digest,A_n,A_p50,A_p95,A_p99,A_max,B_n,B_p50,B_p95,B_p99,B_max,Acontrol_n,Acontrol_p50,Acontrol_p95,Acontrol_p99,Acontrol_max,p50_change_percent,aa_p50_change_percent,round1_change_percent,round1_aa_percent,round2_change_percent,round2_aa_percent,round3_change_percent,round3_aa_percent
1024,4096,16,50,0,normal,cold_success,2a0841b593f622e0fd8cb25dae752abdfc54d712d5bdd98256aed93fe15d7e41,48,60700.0,88100,89800,89800,48,53350.0,77700,94500,94500,48,57250.0,80600,105500,105500,-12.10873146622735,-5.683690280065901,-0.3755868544600971,5.164319248826299,-30.980392156862745,-28.95424836601307,-11.409942950285245,13.447432762836176
1024,4096,16,50,0,normal,warm_success,2a0841b593f622e0fd8cb25dae752abdfc54d712d5bdd98256aed93fe15d7e41,336,22800.0,36600,43000,54000,336,14300.0,22200,24200,27800,336,22800.0,34300,36300,41300,-37.28070175438597,0.0,-36.72566371681416,0.4424778761061843,-41.51329243353783,-7.157464212678932,-37.117903930131,6.768558951965065
1024,4096,16,50,0,normal,rejected,2a0841b593f622e0fd8cb25dae752abdfc54d712d5bdd98256aed93fe15d7e41,384,40100.0,65200,81600,349700,384,39100.0,58600,73400,209300,384,40200.0,59400,71000,85600,-2.493765586034913,0.24937655860348684,-1.7587939698492483,0.5025125628140614,-16.844349680170577,-14.28571428571429,6.094527363184077,8.582089552238802
1024,4096,16,100,0,normal,batch,75ac4aedf2869a00f62c9889707f32d9814a9e327c7c69012f7a5cf230c7ca43,48,842300.0,1185800,1276300,1276300,48,680250.0,960100,1082000,1082000,48,822700.0,1079000,2835000,2835000,-19.2389884839131,-2.3269618900629174,-17.200074864308444,1.3413188595670311,-33.53646452635751,-19.0943321442727,-17.6057156133829,7.748605947955389
1024,4096,16,100,0,normal,cold_success,75ac4aedf2869a00f62c9889707f32d9814a9e327c7c69012f7a5cf230c7ca43,48,59250.0,89200,96900,96900,48,53700.0,77000,84200,84200,48,57450.0,80200,85400,85400,-9.367088607594942,-3.037974683544309,-2.87569573283859,3.0612244897959107,-29.388029589778075,-25.420309347679893,8.835341365461847,-2.489959839357425
1024,4096,16,100,0,normal,warm_success,75ac4aedf2869a00f62c9889707f32d9814a9e327c7c69012f7a5cf230c7ca43,720,50300.0,78000,87200,103000,720,40400.0,62200,71600,89300,720,49700.0,73100,84400,1765900,-19.68190854870775,-1.1928429423459286,-18.623481781376515,0.2024291497975783,-36.126482213438734,-21.26482213438735,-19.6078431372549,6.2745098039215685
1024,4096,64,0,0,normal,batch,5c5533825aeaab0c1a1c3941f0f1c0f61c557edf2a0820337aa4551138186374,48,907050.0,1366000,1462400,1462400,48,912200.0,1304500,1311100,1311100,48,892250.0,1420700,1562300,1562300,0.5677746540984518,-1.6316630836227364,3.981778302682648,0.028119903267542767,-23.461455872879533,-23.719132488726647,21.68694418680779,17.99334388128102
1024,4096,64,0,0,normal,rejected,5c5533825aeaab0c1a1c3941f0f1c0f61c557edf2a0820337aa4551138186374,3072,13500.0,21700,45900,84800,3072,13500.0,20300,44900,156700,3072,13500.0,22100,43000,93200,0.0,0.0,1.5037593984962516,0.7518796992481258,-27.173913043478258,-27.173913043478258,2.2222222222222143,26.296296296296305
1024,4096,64,50,0,normal,batch,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,48,2146650.0,3169800,3242100,3242100,48,1805500.0,2598200,2876700,2876700,48,2081300.0,2534300,2860400,2860400,-15.89220413201966,-3.0442782940861335,-13.84808658678005,-0.03140703517587884,-22.497126872953576,-10.265195047379494,6.111652512877619,1.3596918650517376
1024,4096,64,50,0,normal,cold_success,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,48,57500.0,86200,89000,89000,48,54200.0,86300,100600,100600,48,57000.0,77500,80000,80000,-5.739130434782613,-0.8695652173912993,-3.6245353159851335,3.9962825278810454,-18.920916481892093,-18.55136733185514,27.504393673110727,2.5483304042179356
1024,4096,64,50,0,normal,warm_success,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,1488,22700.0,35300,38800,47900,1488,14300.0,22900,25300,43000,1488,22600.0,31000,35100,37900,-37.00440528634361,-0.4405286343612369,-36.72566371681416,0.0,-41.1522633744856,-6.995884773662553,-14.537444933920707,0.0
1024,4096,64,50,0,normal,rejected,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,1536,41000.0,63200,69800,87100,1536,40200.0,62900,67900,115300,1536,40800.0,55200,63500,799600,-1.9512195121951237,-0.4878048780487809,-1.7241379310344862,0.0,-11.16071428571429,-9.15178571428571,31.09756097560976,0.24390243902439046
1024,4096,64,50,1,normal,batch,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,48,2150750.0,3186900,3293300,3293300,48,1804700.0,2665600,2803800,2803800,48,2103900.0,3350000,3366900,3366900,-16.089736138556322,-2.178309891898178,-13.783509145456307,1.6331171973289482,-37.655703289013296,-27.69419174247726,-8.125843107666276,44.939067608660864
1024,4096,64,50,1,normal,cold_success,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,48,59150.0,92900,107800,107800,48,53100.0,76800,82500,82500,48,58300.0,92600,112600,112600,-10.228233305156387,-1.4370245139475935,-1.1331444759206777,7.743153918791323,-31.63001293661061,-31.63001293661061,1.421404682274252,39.63210702341138
1024,4096,64,50,1,normal,warm_success,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,1488,50300.0,78300,88300,218800,1488,40700.0,60900,67200,537900,1488,50300.0,80000,86400,115500,-19.08548707753479,0.0,-18.309859154929576,0.6036217303822866,-42.10526315789473,-29.01849217638691,-19.548133595284877,50.098231827111995
1024,4096,64,50,1,normal,rejected,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,1536,13700.0,23200,57000,68900,1536,13500.0,21700,40300,64700,1536,13600.0,23400,57800,370800,-1.4598540145985384,-0.7299270072992692,0.0,0.746268656716409,-32.83582089552238,-32.83582089552238,0.7299270072992803,59.12408759124088
1024,4096,64,50,2,normal,batch,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,48,2165750.0,2957900,3177700,3177700,48,1766350.0,2489800,2604700,2604700,48,2063450.0,3194400,3815500,3815500,-18.441648389703335,-4.72353688098811,-13.829160530191453,0.49582719685812293,-29.557855881880922,-17.96862461884128,-9.117337925173874,19.55632086231187
1024,4096,64,50,2,normal,cold_success,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,48,25400.0,37300,40100,40100,48,21250.0,32500,35700,35700,48,24300.0,38100,39200,39200,-16.33858267716536,-4.330708661417326,-8.13704496788008,4.068522483940051,-21.91011235955056,-12.35955056179775,-14.566929133858263,27.55905511811023
1024,4096,64,50,2,normal,warm_success,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,1488,50100.0,76600,85600,108800,1488,40700.0,61200,67800,116500,1488,50000.0,80000,85800,788400,-18.762475049900196,-0.1996007984031989,-18.309859154929576,0.0,-29.452649869678538,-13.46655082536924,-18.525896414342625,36.35458167330676
1024,4096,64,50,2,normal,rejected,c5157f9ee82fcc27372675726e76d0f7f44230d5c09fa52e8b8becbf1675922c,1536,13500.0,22200,47600,69200,1536,13600.0,24300,46800,174700,1536,13500.0,23300,50900,104000,0.7407407407407307,0.0,0.746268656716409,0.0,-2.1897810218978075,-2.1897810218978075,2.2058823529411686,48.16176470588236
1024,4096,64,100,0,normal,batch,35590eddff054ac6e272fab407a35e72edd6d5f9ce06172357032c22c7af9be0,48,3414250.0,4869000,5152400,5152400,48,2707900.0,4011200,4243400,4243400,48,3319300.0,4614500,5867300,5867300,-20.688291718532625,-2.7809914329647745,-16.32359980852083,2.29775011967448,-32.53918814121716,-16.968179102200644,-16.374145344329317,8.459857616127442
1024,4096,64,100,0,normal,cold_success,35590eddff054ac6e272fab407a35e72edd6d5f9ce06172357032c22c7af9be0,48,58400.0,94400,96500,96500,48,53600.0,80000,95200,95200,48,58400.0,93900,103100,103100,-8.21917808219178,0.0,-1.3145539906103232,14.17840375586854,-26.67126119917298,-26.39558924879394,4.302925989672968,21.084337349397586
1024,4096,64,100,0,normal,warm_success,35590eddff054ac6e272fab407a35e72edd6d5f9ce06172357032c22c7af9be0,3024,50900.0,80100,87300,111000,3024,41300.0,63400,68100,439000,3024,50900.0,77200,90600,443700,-18.860510805500986,0.0,-18.290258449304176,0.994035785288272,-36.18677042801557,-21.24513618677043,-18.039215686274513,7.549019607843133
